Release,Date,MPR,LXP bugs solved,LXP ZD tickets solved,LXP SF associations solved,ACM bugs solved,ACM ZD tickets solved,ACM SF associations solved,Total bugs solved,Total ZD tickets solved,Total SF associations solved,Bugs opened,ZD tickets opened,SF associations opened,Net new bugs created,P2 within SLA,P2 over SLA,P3 within SLA,P3 over SLA,Trend Summary,Product Team,Hotfixes,Product Teams Hotfixes
2025.3.3.0,9/16/2025,FALSE,15,38,23,7,16,11,22,54,34,39,110,64,17,2,6,10,4,"The September 16 release cycle showed a net increase of 17 (39 opened vs 22 solved). While this represents solid delivery output, the volume of new issues—particularly the 110 Zendesk tickets opened versus 54 resolved—signals heightened post-release customer impact that requires continued focus.
Content, Curation, and Opportunities (CCO) emerged as a positive area, both solving the most bugs (5) and maintaining active development momentum. The team addressed critical issues around file processing, content updates via API, and pathway management, demonstrating consistent progress in core functionality areas. Academy-related fixes also showed positive momentum with 4 resolved issues addressing project submissions, progress tracking, and admin permissions—critical areas for user experience.
Skills and Academies functionality generated elevated concern, with Skills-related bugs increasing substantially (5 new issues including Skills+ publishing problems and skill standard assignment failures) and Academies experiencing critical duplication and syncing issues. The concentration of Academy bugs around duplicate functionality and completion tracking suggests systemic architectural challenges requiring deeper investigation.
SLA performance remains critically challenged with all P2 Major bugs exceeding their 30-day target and only 69% of P3/P4 bugs meeting the 120-day SLA. One particularly concerning P3 bug (PD-102497) remained open for 422 days before resolution, highlighting ongoing technical debt that continues to impact delivery timelines and customer satisfaction.","CCO:9, Skills:5, Platform Experience:4, Academies:4, Content Marketplace:3, Learner Experience:3, Reporting:3, Mobile (Android & iOS):2, External API:2, DevOps:1, Integrations:1, Other:2",7,"Integrations:2, CCO:1, Platform Experience:1, Platform UI & Tooling:1, Skills:1"
2025.3.4.0,9/30/2025,FALSE,21,48,32,2,2,2,23,50,34,32,51,33,9,6,4,12,1,"Significant backlog accumulation this cycle. We opened 32 new bugs while solving only 23 (21 + 2 ACM), resulting in 9 net new bugs added to the backlog. The ratio of bugs opened to solved indicates the release introduced new issues or surfaced existing problems at a rate faster than the team's resolution capacity.
Mobile platform issues are gaining attention. Multiple bugs were reported around the Android/iOS mobile app experience, including video playback failures in pathways, display language inconsistencies showing French (Canada) instead of French, and connection errors with Maestro options. This concentration of mobile bugs suggests the mobile experience requires focused stabilization work.
Strong resolution of automation and reporting issues. The team successfully addressed several critical automation bugs affecting user group assignments, assigned learning displays, and trigger configurations. Reporting fixes included resolving dynamic admin group permissions and pathway follower report errors, improving administrative functionality for (tech) admin users.
Academy platform showing healthy progress but limited scope. Only 2 Academy bugs were resolved in the specified timeframe, addressing critical search visibility and video rendering issues. However, new academy-related bugs continue to emerge around session timeouts, automation emails, bulk nudge functionality, and help widget display, suggesting ongoing platform maturation challenges.
Skills+ feature continues maturation process. Multiple bugs both opened and closed relate to Skills+ functionality, including skill scale changes, suggestion workflows, bulk approval processes, and modal displays. The ongoing attention to this newer feature area is expected as it stabilizes with real-world usage patterns.","Skills:4, Platform Experience:4, Mobile (Android & iOS):3, CCO:3, Integrations:3, Academies:3, Learner Experience:3, Reporting:3, Content Marketplace:2, Data Science:1, Other:3",3,"Integrations:1, Learner Experience:1, Reporting:1"
2025.3.5.0,10/14/2025,TRUE,12,21,16,5,18,8,17,39,24,39,67,47,22,3,1,9,4,"Significant bug backlog growth: This release saw 39 new bugs opened compared to only 17 bugs resolved (12 from the main release + 5 from ACM Content Marketplace team), resulting in a net increase of 22 bugs in the backlog. This  ratio of bugs opened to closed is a concerning trend that suggests the release may have introduced new issues or exposed existing problems that require immediate attention to prevent further backlog accumulation.
Content Marketplace team contribution: The ACM Content Marketplace team resolved 5 critical bugs during the two-week cycle, including academy member upload issues, project submission problems, completion syncing issues, and session timeout errors. These fixes addressed high-impact issues affecting multiple enterprise accounts and accounted for 18 Zendesk tickets, demonstrating strong focus on customer-reported problems.
Skills and integration challenges persist: Multiple bugs were logged related to Skills features (skill profiles, ratings, assignments) and various integrations (SuccessFactors, Pluralsight, CSV collectors). The opened bugs span across Discovery pages, API issues, file upload problems, and Skills management, indicating that recent feature development or platform changes may have introduced regressions that need systematic investigation.
SLA performance requires attention: Only 12 of 17 bugs (71%) were resolved within SLA targets. One P2 Major bug exceeded its 30-day SLA by 25 days (taking 55 days total), and four P3 Minor bugs significantly exceeded the 120-day threshold (ranging from 137-201 days). These older bugs represent technical debt from March through May that should be prioritized to maintain service commitments and customer trust.","Learner Experience:7, Content Marketplace:7, CCO:6, Platform Experience:5, Skills:4, External API:3, DS/AI:2, Reporting:1, Platform UI & Tooling:1, Manager Experience:1, Other:2",5,"Content Marketplace:1, CCO:1, Learner Experience:1, Platform Services:1"
2025.4.0.0,10/28/2025,FALSE,21,38,31,3,8,6,24,46,37,41,79,59,17,4,6,12,2,"Challenging cycle with significantly more bugs opened than solved. With 41 bugs reported versus only 24 resolved (21 LXP + 3 ACM), we're seeing a net increase of 17 bugs in the backlog. This ratio of opened-to-solved indicates the release may have introduced instability or that client-reporting velocity has increased substantially.
Integration and catalog-related issues dominated both opened and solved bugs this cycle. Notably, multiple third-party integrations experienced failures (Workday, GetAbstract, Coursera, Docebo, GenericCSV/RSS), suggesting potential systemic issues with the integration framework or recent changes affecting collector reliability. Reporting and Skills functionality issues remain persistent themes, with multiple bugs related to data display, skill ratings, and report accuracy. This pattern has appeared in previous cycles.
Positive note: SLA compliance at 67% shows the team is resolving most bugs within reasonable timeframes, with P3 Minor bugs performing particularly well at 86% compliance (12 of 14). The quick resolution times for bugs within SLA (6-14 days for P2, 0-75 days for P3) demonstrate strong execution when issues are prioritized.
Critical concern: P2 Major bug SLA compliance is only 40% (4 of 10), with critical issues taking 38-101 days to resolve when they exceed SLA. This suggests either improper priority assignment or resource constraints preventing timely resolution of high-priority client-impacting issues.","Learner Experience:8, CCO:7, Integrations:6, Skills:5, Platform Experience:5, Content Marketplace:4, Reporting:4, DevOps:1, Mobile (Android & iOS):1",8,"Integrations:4, DS/AI:2, Learner Experience:1, Reporting:1"
2025.4.1.0,11/11/2025,FALSE,24,36,30,2,2,2,26,38,32,68,178,136,42,4,2,13,7,"Massive bug influx indicates significant release stability issues. With 68 bugs opened versus only 26 resolved (24 LXP + 2 ACM), this release produced a net increase of +42 bugs. This dramatic spike suggests the November 11th deployment introduced substantial new defects across multiple system areas.
Localization failures dominated new issues, with 9 bugs affecting internationalization including broken Spanish translations, null language codes in xAPI statements, and incorrect decimal separators in French/French Canadian. Skills+ translation problems were particularly prevalent, impacting pathway displays and skill filter functionality across non-English interfaces.
Post-deployment production incidents required immediate attention, notably ElasticSearch errors affecting search platform-wide, missing Learner Home Insight Cards impacting multiple clients, authentication failures at login, and a critical API server startup blocker. These high-severity issues suggest insufficient pre-release testing of core functionality.
Long-standing technical debt was addressed, including a 582-day-old CredSpark GAT assessment bug (dating to March 2024), a 147-day search filter issue, and a 137-day authentication redirect problem. However, 9 of 26 resolved bugs (35%) exceeded their SLA targets, indicating chronic backlog management challenges.","CCO:10, External API:10, Learner Experience:9, Content Marketplace:7, Skills:7, Reporting:6, Platform Experience:5, Platform Services:4, Integrations:3, DevOps:2, Other:5",8,"External API:4, DS/AI:1, Integrations:1, Learner Experience:1, Reporting:1"
2025.4.2.0,12/2/2025,FALSE,22,79,54,3,3,3,25,82,57,36,64,42,11,12,2,10,1,"The 11 net new bugs this cycle (36 opened vs 25 resolved) indicates the team is falling behind on bug resolution. This suggests either increased platform complexity or resource constraints that need immediate address.
Skills functionality remains a significant focus area, with skills being referenced in 8 resolved bugs and 20 newly opened bugs. The high volume of new skills-related issues suggests ongoing feature development may be introducing instability in this domain.
Academies continue to present challenges with all 3 ACM bugs resolved this cycle related to academy functionality (completion tracking, editing, navigation). The recurring nature of academy issues across multiple releases signals potential architectural concerns requiring deeper investigation.
Positive SLA performance with 88% of bugs resolved within target (22 of 25), though 2 P2 bugs significantly exceeded the 30-day SLA (48 and 128 days). The team maintains strong discipline on most issues despite the increasing backlog.","Content Marketplace: 6, CCO: 6, Learner Experience: 5, Reporting: 4, Platform Services: 3, Skills: 3, Integrations: 2, Platform Experience: 2, DS/AI: 1, External API: 1, Other: 3",7,"Content Marketplace:1, Data Science:1, External API:1, Learner Experience:1, Platform Services:1, Skills:1"
2025.4.3.0,12/16/2025,FALSE,22,61,42,1,1,1,23,62,43,28,41,31,5,3,1,17,2,"This release cycle still shows an imbalance with 28 client-reported bugs opened versus only 23 solved (22 LXP + 1 ACM), creating a net increase of 5 bugs in the backlog, but there is an improvement compared to the last releases.
Skills and Content Marketplace teams experienced the highest volume of newly reported issues, with 7 and 6 bugs respectively, indicating these areas may need focused attention. The Skills team also led in resolved bugs with 5 fixes, showing active engagement with their backlog.
A major positive is the strong SLA compliance rate, with 20 of 23 bugs (87%) resolved within their target timeframes. The Content, Curation, and Opportunities team demonstrated particularly strong execution with 6 bugs resolved.
The top issue resolved addressed a critical LearnUpon integration problem affecting 10 Zendesk tickets across 8 client organizations, representing significant cross-client impact. However, three bugs exceeded SLA significantly (159-213 days), including long-standing issues in Manager Experience and External API teams that required escalation.","Skills:7, Content Marketplace:6, Platform Experience:5, Reporting:3, CCO:2, External API:1, Insights:1, Integrations:1, Platform Services:1, Learner Experience:1",2,"External API:1, DS/AI:1"
2025.4.4.0,1/13/2026,FALSE,17,36,22,5,8,8,22,44,30,25,42,29,3,2,5,13,2,"Slightly Negative Cycle: The release resulted in 3 net new bugs (25 opened vs 22 solved), indicating a modest increase in the backlog.
Skills and Learner Experience Improvements: A significant portion of resolved bugs focused on Skills functionality (Skills+, Skill Coach, Skill Registry, skill proficiency management) and Learner Experience features. Issues included translation problems, UI display errors, assignment visibility, and search functionality, demonstrating concentrated effort on improving core user-facing capabilities.
Academy Platform Progress: Content Marketplace resolved 5 critical bugs during this cycle, addressing cohort management (early access prevention, email notification timing), reporting functionality (section report loading), UI issues (help widget visibility), and member management. These fixes improve the stability and user experience of the Academy platform.
SLA Performance Mixed Results: Only 29% of P2 Major bugs were resolved within the 30-day SLA, with some taking over 200 days, indicating significant challenges with high-priority issue resolution. However, P3 performance was strong at 87% within the 120-day SLA, with only 2 bugs exceeding expectations. The team shows capability in handling lower-priority issues but needs improved focus on critical P2 bugs.","Content Marketplace:5, Learner Experience:5, External API:3, Reporting:3, Integrations:2, Platform Experience:2, CCO:1, Data Engineering:1, Data Science:1, Platform Services:1, Skills:1",3,"Learner Experience: 1, Internal Tools: 1, Platform UI & Tooling: 1"
2025.4.5.0,1/27/2026,TRUE,29,61,38,3,8,3,32,69,41,35,61,40,3,5,6,16,5,"Strong fix velocity for a major release. 32 total bugs resolved against 35 opened gives a net of only +3 new bugs, same as the previous release — the best ratio since the 2025.4.3.0 cycle (+5) and a dramatic improvement over the 2025.4.1.0 spike (+42).  
Skills and Pathways dominated both sides of the ledger. Skills-related issues were the most common theme in both bugs opened (6 across Skill Ratings, Skill Standards, Skill Coach, and Skill Plans) and fixed (4). CCO delivered 7 fixes touching Pathways, Automations, Groups, and content management — a solid clearance of backlog items. 
ACM resolved 3 budget/virtual-card bugs — all P2s related to virtual card transactions and budget resets — indicating a focused sprint on financial workflow reliability. However, 2 of the 3 exceeded the 30-day SLA (52 and 63 days), so these lingered before being addressed. 
Aging P2/P3 backlog remains a concern. 6 of 11 P2s exceeded the 30-day SLA, including one at 399 days (In-App notification repeat issue, finally closed). Five P3s also exceeded SLA with ages ranging from 233 to 315 days, mostly in Skills+ and CCO. While closing these older items is positive, it shows that issues linger as P3 for too long and are only addressed once upgraded to P2. ","Skills:6, Platform Experience:5, Content Marketplace:5, Integrations:4, CCO:3, Mobile (Android & iOS):3, Platform UI & Tooling:2, Reporting:2, Search & Discovery:2, DS/AI:1, Other:2",5,"Integrations:3, Learner Experience:1, Platform UI & Tooling:1"

